Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1457315.226,-723,11,29,17.42028,248.5846,-0.64434,241.05213,63.1949,0,68.84706,-5.02852
EL,1457564.307,-722,8,5,19.37417,142.42431,-7.37896,124.49961,98.4944,0,116.94647,-5.88928
MF,1457581.706,-722,8,23,4.9475,132.96766,-8.66473,141.5156,259.63785,0,249.02029,-5.93787
ML,1457834.707,-721,5,3,4.96639,23.89101,-0.96462,33.71074,260.04274,0,251.55908,-5.056
EF,1457890.309,-721,6,27,19.40944,92.19756,1.03653,86.68018,119.36855,0,121.76378,-5.07843
EL,1458160.274,-720,3,23,18.56944,0.92884,7.18121,355.59478,98.12599,0,91.70109,-6.22544
MF,1458163.738,-720,3,27,5.70722,358.75075,6.77417,358.94842,263.33791,0,267.04445,-5.67757
ML,1458431.775,-720,12,20,6.59111,256.14466,-0.3835,262.28012,297.70544,0,294.44633,-5.21517
EF,1458480.249,-719,2,6,17.98333,316.73162,-1.42985,311.14228,69.52665,0,72.3558,-5.02943
EL,1458735.249,-719,10,19,17.96417,216.16026,-5.51237,199.30654,67.68408,0,84.47852,-5.69505
MF,1458749.747,-719,11,3,5.92444,208.23626,-2.56297,214.04256,285.70587,0,282.10063,-5.22472
ML,1459014.694,-718,7,26,4.64528,108.9451,1.06317,114.22695,242.24167,0,240.85674,-5.20696
EF,1459061.28,-718,9,10,18.71472,167.08465,1.17944,159.90295,97.3189,0,102.51794,-5.09922
EL,1459324.304,-717,5,31,19.29222,68.38091,-0.80342,60.96694,115.04313,0,118.87321,-6.40316
MF,1459336.682,-717,6,13,4.37194,61.00997,-3.49422,72.75023,249.72948,0,238.98208,-5.89699
ML,1459588.769,-716,2,20,6.45833,314.10319,-1.34527,323.82137,291.32317,0,282.97839,-5.17588
EF,1459646.28,-716,4,17,18.71694,25.02991,-0.48039,19.70744,100.98331,0,102.37908,-5.15906
EL,1459914.238,-715,1,10,17.72083,287.56245,6.80325,284.07449,71.35912,0,66.69676,-6.06105
MF,1459916.781,-715,1,13,6.75583,285.9758,7.19252,286.64202,288.40823,0,293.574,-5.05549
ML,1460182.732,-715,10,6,5.56722,180.64701,1.22167,185.66522,268.99784,0,269.55775,-5.13405
