Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
ML,1461932.688,-710,7,22,4.52139,104.6673,0.97864,110.42391,241.2873,-0.5667,239.3954,-6.09197
EF,1461984.282,-710,9,11,18.77472,169.02353,1.13799,160.96338,96.72026,-0.5667,102.68752,-6.11589
EL,1462244.304,-709,5,29,19.295,66.06043,-0.55408,59.13294,115.25387,-0.56669,118.58203,-6.67192
MF,1462255.683,-709,6,10,4.38917,59.23772,-3.07212,69.96491,249.31188,-0.5667,239.48543,-5.87862
ML,1462506.768,-708,2,16,6.43389,309.82507,-1.29807,319.93589,292.35318,-0.5667,283.84726,-6.21096
EF,1462567.283,-708,4,16,18.78139,24.48982,-0.48398,18.82431,101.09438,-0.5667,102.5552,-6.06272
EL,1462834.237,-707,1,8,17.69444,284.91575,6.645,282.11821,71.16958,-0.5667,66.43926,-6.01297
MF,1462836.778,-707,1,11,6.67611,283.33121,7.04186,284.6863,288.55355,-0.5667,293.28304,-5.96448
ML,1463100.727,-707,10,2,5.44472,176.29449,1.28113,181.69629,266.53794,-0.5667,267.09809,-6.08968
EF,1463157.23,-707,11,27,17.51944,247.42001,-0.63994,239.12018,63.81232,-0.5667,70.01146,-6.13684
EL,1463404.31,-706,8,1,19.43833,137.56096,-7.19905,120.74164,100.81066,-0.5667,118.22574,-6.15463
MF,1463420.704,-706,8,18,4.88472,128.4873,-8.64181,136.72699,257.87238,-0.5667,247.19464,-5.90433
ML,1463669.711,-705,4,24,5.07056,14.22358,-1.16353,25.24635,264.25545,-0.5667,254.57738,-6.00291
EF,1463732.313,-705,6,25,19.50306,91.09546,1.03358,84.90155,119.77763,-0.5667,122.56102,-6.19828
EL,1464000.271,-704,3,19,18.50444,356.17168,7.45874,351.83137,96.52849,-0.5667,89.69933,-5.84937
MF,1464002.74,-704,3,22,5.77194,354.61069,7.20291,354.22752,264.47746,-0.5667,268.93095,-6.24832
ML,1464269.768,-704,12,14,6.43833,249.95316,-0.2212,256.27893,296.17083,-0.5667,293.2621,-6.1916
EF,1464321.251,-703,2,3,18.02833,314.35107,-1.43334,308.27201,69.03421,-0.5667,72.05487,-6.03613
EL,1464574.252,-703,10,14,18.04889,211.18517,-6.0684,194.36099,69.51864,-0.5667,86.67745,-5.61061
MF,1464588.742,-703,10,29,5.81861,203.29143,-3.33362,209.06922,284.02498,-0.5667,279.7678,-5.7049
ML,1464851.687,-702,7,19,4.48111,101.6262,0.91697,107.58706,240.99656,-0.5667,238.81537,-6.19097
EF,1464903.285,-702,9,8,18.83111,165.94371,1.18562,158.04062,98.19969,-0.5667,103.99613,-6.07996
EL,1465164.302,-701,5,27,19.24583,63.71419,-0.30318,57.2783,115.02728,-0.5667,117.82656,-6.37288
MF,1465175.682,-701,6,8,4.36778,56.90895,-2.83228,68.11124,249.6571,-0.5667,239.57633,-6.24403
ML,1465426.769,-700,2,14,6.45833,308.00454,-1.27794,318.00196,292.91023,-0.5667,284.55088,-6.22256
EF,1465487.282,-700,4,14,18.76806,22.69635,-0.52456,16.95395,100.25976,-0.5667,101.74045,-6.14041
EL,1465754.234,-699,1,6,17.62083,282.24781,6.47652,280.14134,70.66371,-0.5667,65.87609,-5.41629
MF,1465756.777,-699,1,9,6.63833,280.66302,6.8815,282.71269,289.01358,-0.5667,293.29102,-6.33917
ML,1466019.725,-699,9,29,5.39694,173.18647,1.31558,178.72495,265.03843,-0.5667,265.59929,-6.23123
