Saturn,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
AR,1448021.319,-748,6,19,19.64912,270.19014,0.02356,79.55533,297.72516,-0.5667,123.7726,-8.1947
CS,1448042.674,-748,7,11,4.16566,268.60802,-0.00964,99.99888,62.24356,-0.5667,235.69989,-8.77393
EL,1448204.246,-748,12,19,17.90525,273.60626,-0.2144,261.5507,62.04768,-0.5667,68.81224,-10.57534
MF,1448235.754,-747,1,20,6.087,277.38905,-0.25502,293.44083,297.80806,-0.5667,287.66172,-13.08284
AR,1448398.323,-747,7,1,19.74687,282.10465,-0.56547,90.80286,297.75657,-0.5667,124.5624,-8.49119
CS,1448418.68,-747,7,22,4.32428,280.58012,-0.59724,110.37295,62.0452,-0.5667,237.69406,-8.23345
EL,1448582.249,-746,1,1,17.96711,285.68162,-0.69484,274.51712,62.54538,-0.5667,68.34021,-10.15397
MF,1448615.749,-746,2,4,5.9755,289.7437,-0.73866,308.21163,296.85218,-0.5667,283.58709,-13.56995
AR,1448776.322,-746,7,14,19.73534,294.26658,-1.14645,103.04781,296.44265,-0.5667,123.50638,-8.24153
CS,1448795.687,-746,8,3,4.48527,292.79786,-1.17566,121.7714,63.21336,-0.5667,240.58142,-8.09421
EL,1448959.256,-745,1,13,18.14674,297.91296,-1.15345,286.41974,64.3909,-0.5667,69.81331,-10.78292
MF,1448995.742,-745,2,19,5.81121,302.3846,-1.20017,322.86013,294.49522,-0.5667,278.45047,-13.53714
AR,1449154.32,-745,7,27,19.67572,306.78942,-1.69032,115.35753,293.7725,-0.5667,121.24533,-8.26665
CS,1449173.693,-745,8,16,4.63414,305.30062,-1.717,134.21918,65.74444,-0.5667,244.44324,-8.42124
EL,1449338.261,-744,1,27,18.25967,310.69278,-1.56942,300.24985,67.61866,-0.5667,72.18986,-10.09688
MF,1449375.733,-744,3,5,5.59101,315.33759,-1.61524,337.36635,290.82734,-0.5667,272.53864,-13.19637
AR,1449532.315,-744,8,8,19.56613,319.69924,-2.1667,127.75394,289.83316,-0.5667,117.89894,-8.52791
CS,1449551.701,-744,8,28,4.82494,318.18945,-2.18974,146.76758,69.56941,-0.5667,249.54776,-8.28446
EL,1449716.269,-743,2,8,18.45617,323.66925,-1.91559,312.98447,71.99994,-0.5667,76.24015,-10.56809
MF,1449756.719,-743,3,21,5.26071,328.73505,-1.95986,352.71059,285.97507,-0.5667,265.34256,-13.24562
AR,1449911.306,-743,8,22,19.34345,332.92883,-2.54539,141.21643,284.8292,-0.5667,112.82318,-8.3828
CS,1449930.707,-743,9,11,4.97065,331.39685,-2.56212,160.40065,74.49117,-0.5667,255.32172,-8.755
EL,1450095.276,-742,2,22,18.61244,337.08855,-2.16798,326.61097,77.41152,-0.5667,81.30366,-10.53963
MF,1450137.704,-742,4,6,4.89109,342.4533,-2.20639,7.92908,280.21095,-0.5667,257.84785,-13.33398
AR,1450290.295,-742,9,5,19.08886,346.53727,-2.79345,154.78688,278.96414,-0.5667,107.0358,-8.43643
CS,1450309.714,-742,9,25,5.13325,344.98382,-2.80279,174.14428,80.30708,-0.5667,261.74189,-8.90217
EL,1450474.282,-741,3,8,18.77821,350.80215,-2.30407,340.12284,83.54959,-0.5667,87.29311,-10.83595
MF,1450517.69,-741,4,21,4.55857,356.3427,-2.33027,22.07902,273.87448,-0.5667,251.10696,-13.16511
AR,1450670.281,-741,9,20,18.74888,0.40307,-2.88614,169.46447,272.55468,-0.5667,99.93301,-8.02252
CS,1450688.721,-741,10,9,5.3097,358.90881,-2.8864,187.99444,86.74041,-0.5667,268.41677,-8.81523
EL,1450854.287,-740,3,22,18.89878,4.89581,-2.30664,354.4912,90.17983,-0.5667,93.84925,-10.57745
