Almagest Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-734,6,29,18.51476,-734,10,28,18.52484,-733,1,5,8.01933,-733,3,14,18.79991,1453144.27145,1453265.27187,1453333.83414,1453402.28333,92.29011,87.62512,91.25319,92.29011,102.76996,91.67725,210.17138,211.5524,99.12979,93.9733,280.49881,279.12979,95.50544,96.26556,348.91862,346.59573
-733,7,13,19.74928,-733,11,11,10.63999,-732,1,19,5.59525,-732,3,27,21.58637,1453523.32289,1453643.94333,1453712.73314,1453781.39943,105.89658,100.319,104.3977,105.89658,116.20891,104.3584,223.90526,224.78435,112.58601,106.66207,294.38458,292.58601,108.98044,108.96161,2.39572,0.26593
-732,7,26,13.47894,-732,11,23,18.51193,-731,1,31,19.35251,-731,4,10,17.18093,1453902.06162,1454022.27133,1454091.30635,1454160.21587,119.19484,113.00241,117.31823,119.19484,129.32581,117.02805,237.33839,237.67777,125.72113,119.33994,307.83581,305.72113,122.13416,121.64761,15.47096,13.64078
-731,8,8,23.19651,-731,12,6,18.15663,-730,2,14,1.01841,-730,4,24,4.99141,1454280.46652,1454400.25653,1454469.54243,1454538.70798,132.16406,125.67463,130.00883,132.16406,142.1108,129.68623,250.43837,250.23332,138.52395,132.00651,320.834,318.52395,134.95422,134.32276,28.14498,26.69595
-730,8,22,0.84995,-730,12,19,10.00097,-729,2,26,22.74529,-729,5,7,8.85729,1454658.53541,1454777.91671,1454847.44772,1454916.86905,144.8021,138.33561,142.47566,144.8021,154.57115,142.33351,263.19367,262.46851,151.00073,144.66201,333.38711,331.00073,147.44607,146.98683,40.43664,39.42485
-729,9,3,18.77822,-729,12,31,18.80542,-728,3,10,13.04036,-728,5,19,4.99104,1455036.28243,1455155.28356,1455225.04335,1455294.70796,157.12288,150.9858,154.73508,157.12288,166.72833,154.97098,275.61198,274.4146,163.1723,157.30713,345.52393,343.1723,159.63011,159.6401,52.37862,51.8362
-728,9,15,5.63862,-727,1,11,21.58569,-727,3,22,20.6935,-727,5,31,17.92053,1455413.73494,1455532.3994,1455602.36223,1455672.24669,169.1534,163.62614,166.8117,169.1534,178.61511,167.60004,287.71729,286.11328,175.0711,169.94299,357.2886,355.07111,171.53862,172.28332,64.01406,63.95169
-727,9,27,10.33704,-726,1,23,19.54545,-726,4,3,22.7113,-726,6,13,0.42657,1455790.93071,1455909.31439,1455979.4463,1456049.51777,180.93085,176.25787,178.73646,180.93085,190.2729,180.22237,299.54661,297.61399,186.73847,182.57099,8.73594,6.73847,183.21303,184.91758,75.39365,75.80338
-726,10,9,9.96661,-725,2,4,14.01495,-725,4,15,20.26048,-725,6,25,1.49399,1456167.91528,1456286.08396,1456356.34419,1456426.56225,192.50014,188.88254,190.54499,192.50014,201.74953,192.83983,311.14659,308.97136,198.22232,195.19275,19.92777,18.22232,194.70145,197.54425,86.57371,87.43172
-725,10,21,5.75592,-724,2,16,6.40174,-724,4,26,14.6207,-724,7,5,22.26681,1456544.73983,1456662.76674,1456733.1092,1456803.42778,203.91171,201.50184,202.2762,203.91171,213.09737,205.45439,322.57053,320.2432,209.57521,207.81006,30.9303,29.57521,206.05665,210.16492,97.61483,98.88369
-724,10,31,23.0259,-723,2,26,22.14211,-723,5,8,7.14523,-723,7,17,16.01148,1456921.45941,1457039.42259,1457109.79772,1457180.16714,215.21982,214.11763,213.97092,215.21982,224.37188,218.06804,333.87553,331.48849,220.8527,220.42481,41.81228,40.8527,217.33439,222.78137,108.5808,110.21129
-723,11,12,15.15372,-722,3,10,14.66885,-722,5,19,23.22718,-722,7,29,8.08303,1457298.1314,1457416.1112,1457486.4678,1457556.83679,226.48103,226.73183,225.67074,226.48103,235.63019,230.6828,345.12057,342.76608,232.11202,233.03894,52.64368,52.11202,228.59197,235.39549,119.53778,121.47019
-722,11,24,7.54088,-721,3,22,9.3786,-721,5,31,16.26904,-721,8,9,23.89356,1457674.8142,1457792.89077,1457863.17788,1457933.49557,237.75288,239.34638,237.41674,237.75288,246.92993,243.30059,356.36482,354.13332,243.41076,245.65441,63.49476,63.41076,239.88698,248.00924,130.55345,132.71836
-721,12,6,1.58343,-720,4,2,7.59624,-720,6,11,11.65283,-720,8,20,16.88319,1458051.56598,1458169.81651,1458239.98553,1458310.20347,249.09272,251.96325,249.24833,249.09272,258.32797,255.92329,7.66617,5.64462,254.80569,258.27315,74.43534,74.80569,251.27607,260.62464,141.69606,144.01496
-720,12,16,22.64161,-719,4,14,10.54712,-719,6,23,10.70885,-719,9,1,12.48206,1458428.4434,1458546.93946,1458616.9462,1458687.02009,260.55641,264.58432,261.20207,260.55641,269.87916,268.55258,19.08029,17.35031,266.35142,270.89701,85.53398,86.35142,262.81373,273.24368,153.03293,155.41871
-719,12,29,0.00684,-718,4,26,19.32147,-718,7,5,14.67998,-718,9,13,12.0733,1458805.50029,1458924.30506,1458994.11167,1459064.00305,272.19697,277.21141,273.31044,272.19697,281.63476,281.19001,30.65953,29.29515,278.09901,283.52773,96.85701,98.09901,274.55084,285.86829,164.6286,166.98642
-717,1,10,6.86304,-717,5,9,10.83368,-717,7,18,0.67978,-717,9,25,16.9468,1459182.78596,1459301.9514,1459371.52832,1459441.20612,284.06305,289.84616,285.60063,284.06305,293.64066,293.83683,42.45183,41.51671,290.09418,296.16686,108.46715,110.09418,286.5331,298.50027,176.54221,178.77107
