Saturn,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1441821.5,1441821.533,1441821.656,-765,6,30,3.74895,72.43663,-0.74959,88.55559,243.51807,0,231.67784,-11.0418
AR,1441983.5,1441984.101,1441984.225,-765,12,9,17.39057,77.48375,-0.63649,250.41132,242.67006,0,66.94056,-5.67845
CS,1441995.5,1441996.652,1441996.775,-765,12,22,6.60119,76.45118,-0.61366,263.20327,117.23166,0,294.30693,-6.11916
EL,1442164.5,1442165.208,1442165.332,-764,6,7,19.95737,81.8651,-0.24421,67.97429,118.24512,0,126.15409,-11.45857
MF,1442199.5,1442199.536,1442199.659,-764,7,12,3.81447,86.26605,-0.19336,100.7923,241.44193,0,232.1379,-11.20678
AR,1442362.5,1442363.103,1442363.226,-764,12,22,17.42418,91.40622,0.06126,264.4282,241.06677,0,65.26077,-5.58234
CS,1442375.5,1442376.656,1442376.779,-763,1,5,6.7078,90.30263,0.08608,278.18469,118.97332,0,294.1348,-6.2302
EL,1442543.5,1442544.214,1442544.337,-763,6,21,20.09108,95.61233,0.31486,81.09718,119.1077,0,128.21201,-11.35731
MF,1442577.5,1442577.541,1442577.665,-763,7,25,3.95175,99.83743,0.36307,113.10414,241.14548,0,234.20991,-11.343
AR,1442740.5,1442741.11,1442741.233,-762,1,4,17.59158,105.05876,0.73631,277.38307,241.30128,0,65.82326,-6.25205
CS,1442755.5,1442756.657,1442756.78,-762,1,20,6.72116,103.80999,0.76303,293.06962,118.90339,0,292.01217,-6.24639
EL,1442922.5,1442923.215,1442923.339,-762,7,5,20.12509,109.06217,0.84455,94.25944,118.18754,0,128.18962,-11.00051
MF,1442955.5,1442955.549,1442955.672,-762,8,7,4.13446,113.10984,0.88711,125.49131,242.55462,0,237.71345,-11.44339
AR,1443119.5,1443120.115,1443120.238,-761,1,18,17.718,118.24461,1.35446,291.28056,243.19076,0,67.31901,-5.77398
CS,1443134.5,1443135.655,1443135.779,-761,2,3,6.69401,117.01346,1.37769,306.84833,117.14672,0,288.90846,-5.56317
EL,1443300.5,1443301.214,1443301.338,-761,7,18,20.10861,122.07034,1.31647,106.52261,115.72864,0,126.84045,-11.02181
MF,1443333.5,1443333.557,1443333.68,-761,8,20,4.33102,126.06467,1.3524,137.9689,245.42088,0,242.31413,-11.57555
AR,1443497.5,1443498.123,1443498.246,-760,1,31,17.91516,131.11354,1.88346,304.07876,246.45434,0,70.56555,-6.01479
CS,1443514.5,1443515.647,1443515.77,-760,2,18,6.487,129.74746,1.90395,321.49399,114.03705,0,283.62036,-5.78072
EL,1443677.5,1443678.212,1443678.335,-760,7,29,20.05153,134.64,1.71135,117.88861,112.08722,0,124.57958,-11.37796
MF,1443710.5,1443710.567,1443710.69,-760,8,31,4.57107,138.5826,1.73822,149.56128,249.36549,0,247.84546,-11.01062
AR,1443875.5,1443876.13,1443876.254,-759,2,12,18.08828,143.60082,2.30643,316.77984,250.71401,0,74.72551,-5.98221
CS,1443893.5,1443894.637,1443894.761,-759,3,3,6.25461,142.17973,2.32129,335.02764,109.88326,0,278.06989,-5.59065
EL,1444055.5,1444056.204,1444056.327,-759,8,11,19.85289,147.02827,2.01673,130.29351,107.52226,0,120.28171,-11.10174
MF,1444088.5,1444088.574,1444088.697,-759,9,13,4.72858,150.92644,2.03537,162.22376,254.13865,0,253.51858,-11.46032
AR,1444253.5,1444254.136,1444254.259,-758,2,25,18.22719,155.74168,2.61286,329.38769,255.63847,0,79.52763,-5.66533
CS,1444272.5,1444273.624,1444273.748,-758,3,17,5.94735,154.26753,2.62045,348.45499,105.0361,0,271.7798,-5.73318
EL,1444432.5,1444433.195,1444433.319,-758,8,23,19.65186,159.02917,2.22541,141.80648,102.42445,0,115.76422,-11.21428
MF,1444465.5,1444465.581,1444465.705,-758,9,25,4.91136,162.8875,2.23461,173.97547,259.36043,0,259.44491,-11.30783
AR,1444630.5,1444631.143,1444631.267,-757,3,9,18.40323,167.65524,2.79774,340.92312,260.99423,0,84.94774,-6.12716
CS,1444650.5,1444651.612,1444651.736,-757,3,30,5.65476,166.12656,2.79869,0.80911,99.73432,0,265.87849,-5.64603
EL,1444809.5,1444810.185,1444810.309,-757,9,4,19.40814,170.79659,2.33521,153.40039,96.994,0,110.55449,-11.2428
MF,1444842.5,1444842.588,1444842.711,-757,10,7,5.06704,174.6225,2.33559,185.80437,264.84595,0,265.2403,-11.41343
AR,1445007.5,1445008.15,1445008.273,-756,3,20,18.55054,179.31166,2.86344,352.37879,266.53115,0,90.51007,-6.3606
CS,1445028.5,1445029.599,1445029.722,-756,4,11,5.32658,177.7284,2.85704,13.08078,94.22657,0,259.7526,-5.90868
EL,1445186.5,1445187.174,1445187.297,-756,9,15,19.1389,182.36828,2.3474,165.07873,91.42854,0,104.88807,-11.1997
MF,1445219.5,1445219.593,1445219.717,-756,10,18,5.20289,186.16978,2.33983,197.70023,270.40796,0,270.74549,-11.75753
AR,1445384.5,1445385.155,1445385.278,-755,4,1,18.67819,190.76188,2.81425,3.75628,272.07753,0,96.06866,-6.41064
CS,1445405.5,1445406.587,1445406.71,-755,4,23,5.04818,189.1922,2.80168,24.3356,88.65432,0,254.42762,-5.94291
EL,1445563.5,1445564.162,1445564.286,-755,9,27,18.8597,193.7862,2.26615,176.83839,85.8922,0,98.98019,-11.09374
MF,1445595.5,1445595.601,1445595.724,-755,10,29,5.3842,197.45589,2.25121,208.63555,275.83515,0,275.93289,-11.40082
AR,1445761.5,1445762.16,1445762.283,-754,4,13,18.79594,202.05894,2.65691,15.07127,277.48843,0,101.48578,-6.31962
CS,1445781.5,1445782.578,1445782.701,-754,5,4,4.83493,200.56921,2.64036,34.60295,83.16767,0,250.05655,-5.69599
EL,1445939.5,1445940.153,1445940.277,-754,10,8,18.6455,204.98142,2.09911,187.65759,80.58324,0,93.858,-11.42439
MF,1445971.5,1445971.608,1445971.732,-754,11,9,5.56299,208.64207,2.07679,219.6007,281.04306,0,280.60691,-11.1429
AR,1446138.5,1446139.165,1446139.288,-753,4,25,18.91284,213.25959,2.39994,26.33991,282.62995,0,106.62846,-6.13895
CS,1446157.5,1446158.57,1446158.693,-753,5,15,4.63298,211.84662,2.38031,44.84832,77.9359,0,245.97176,-5.65134
EL,1446316.5,1446317.143,1446317.266,-753,10,20,18.38942,216.23022,1.85124,199.54532,75.53514,0,88.06568,-11.25759
MF,1446348.5,1446348.614,1446348.737,-753,11,21,5.68976,219.89224,1.82399,231.60704,285.93737,0,284.44967,-11.76158
AR,1446515.5,1446516.17,1446516.293,-752,5,6,19.03598,224.42523,2.05322,37.56442,287.36493,0,111.36755,-5.94162
CS,1446533.5,1446534.562,1446534.686,-752,5,25,4.45719,223.08621,2.03141,55.07299,73.09812,0,242.36365,-5.73639
EL,1446693.5,1446694.134,1446694.257,-752,10,31,18.16656,227.46995,1.53294,211.49299,70.95402,0,82.63622,-11.08098
MF,1446724.5,1446724.622,1446724.745,-752,12,1,5.88106,231.02606,1.50196,242.6082,290.27164,0,287.73464,-11.40263
