Mars,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1460476.5,1460476.528,1460476.652,-714,7,27,3.63956,98.69079,1.03653,115.14765,239.77502,-0.5667,231.29973,-14.76899
AR,1460776.5,1460777.181,1460777.304,-713,5,23,19.29808,239.8267,-2.90914,53.3479,297.76521,-0.5667,117.71599,-6.53256
CS,1460786.5,1460787.556,1460787.68,-713,6,3,4.31248,236.8607,-3.57687,63.21656,62.27483,-0.5667,239.64766,-6.23488
EL,1461147.5,1461148.211,1461148.334,-712,5,28,20.02291,73.18145,0.9489,58.85171,119.12012,-0.5667,125.57201,-13.42729
MF,1461237.5,1461237.55,1461237.673,-712,8,26,4.15717,130.19908,1.19158,144.95933,246.55297,-0.5667,242.55342,-14.83661
AR,1461589.5,1461590.185,1461590.309,-711,8,13,19.41316,316.03941,-6.40104,132.5874,296.65368,-0.5667,115.74793,-6.646
CS,1461596.5,1461597.575,1461597.698,-711,8,21,4.76218,313.87968,-6.14392,139.8301,62.82835,-0.5667,246.74169,-7.03438
EL,1461908.5,1461909.224,1461909.347,-710,6,28,20.33897,104.56687,1.19127,87.96219,119.75926,-0.5667,130.60666,-13.28051
MF,1462003.5,1462003.573,1462003.697,-710,10,1,4.71837,166.04577,0.92276,180.33992,261.9214,-0.5667,260.17518,-14.78563
AR,1462375.5,1462376.137,1462376.26,-709,10,8,18.24886,18.04071,-1.62203,187.71986,262.82353,-0.5667,90.54516,-6.48551
CS,1462387.5,1462388.613,1462388.736,-709,10,21,5.66339,13.40167,-0.9905,200.34279,95.70631,-0.5667,275.42995,-6.43896
EL,1462666.5,1462667.221,1462667.345,-708,7,25,20.27209,134.25914,1.06174,114.41753,111.86524,-0.5667,127.31476,-13.23772
MF,1462778.5,1462778.6,1462778.723,-708,11,14,5.3589,211.03304,0.1415,225.53662,283.86399,-0.5667,280.57637,-14.70221
AR,1463145.5,1463146.11,1463146.234,-707,11,16,17.60949,61.48101,1.98576,227.85054,242.07687,-0.5667,73.68232,-6.88808
CS,1463160.5,1463161.641,1463161.764,-707,12,2,6.33689,55.38725,2.51224,243.71095,116.83072,-0.5667,291.34475,-6.18328
EL,1463427.5,1463428.201,1463428.325,-706,8,25,19.79488,167.33192,0.5368,144.17555,97.04251,-0.5667,116.53118,-13.37134
MF,1463611.5,1463611.612,1463611.736,-705,2,25,5.65326,305.56366,-1.14059,329.01942,294.06802,-0.5667,274.95668,-14.50835
AR,1463912.5,1463913.105,1463913.228,-705,12,23,17.47183,96.20944,3.9979,265.1012,235.84163,-0.5667,65.59054,-6.10142
CS,1463928.5,1463929.656,1463929.78,-704,1,9,6.71416,89.72382,4.23877,281.88871,124.66297,-0.5667,293.74512,-6.28321
EL,1464212.5,1464213.15,1464213.274,-704,10,18,18.56477,220.86339,-0.53709,198.64295,71.36761,-0.5667,89.79356,-13.25102
MF,1464425.5,1464425.532,1464425.655,-703,5,19,3.72655,22.91166,-0.47955,49.47447,259.32658,-0.5667,236.54517,-14.66495
AR,1464677.5,1464678.125,1464678.248,-702,1,26,17.95321,129.95325,4.61371,299.98947,242.39628,-0.5667,70.20534,-7.15738
CS,1464696.5,1464697.645,1464697.769,-702,2,15,6.45091,122.52182,4.49516,319.43864,119.86894,-0.5667,283.88072,-6.58982
EL,1465047.5,1465048.149,1465048.272,-701,1,31,18.53102,318.35293,-0.98111,304.76951,70.55491,-0.5667,75.41596,-13.30519
MF,1465186.5,1465186.518,1465186.641,-701,6,19,3.38957,57.02711,0.30269,78.51288,245.3456,-0.5667,228.80503,-14.50486
AR,1465447.5,1465448.143,1465448.267,-700,3,6,18.40038,166.85398,3.66305,339.13945,259.27929,-0.5667,84.28142,-6.356
CS,1465465.5,1465466.614,1465466.738,-700,3,25,5.70643,160.12523,3.1109,357.11969,103.28382,-0.5667,267.34263,-6.13992
EL,1465839.5,1465840.179,1465840.302,-699,4,2,19.2542,18.18641,-0.03927,5.16004,98.99693,-0.5667,101.57099,-13.34118
MF,1465944.5,1465944.522,1465944.646,-699,7,16,3.49657,87.28716,0.88548,104.87618,239.63931,-0.5667,229.05983,-14.73671
AR,1466228.5,1466229.167,1466229.291,-698,4,26,18.9769,215.37355,-0.16511,27.95242,286.02411,-0.5667,107.72978,-6.65847
CS,1466242.5,1466243.569,1466243.693,-698,5,11,4.62085,210.79075,-1.02174,41.69441,74.92739,-0.5667,246.54549,-6.50034
EL,1466612.5,1466613.203,1466613.326,-697,5,15,19.82558,59.67691,0.74854,45.87566,115.93723,-0.5667,120.92123,-13.47652
